IT Trend Map,Digitalization,text,"- El negocio digital es la creación de nuevos conceptos de negocio difuminando los mundos digital y físico.;- Gartner define el negocio digital como la creación de nuevos conceptos de negocio que no sólo conectan a las personas y las empresas, sino también a las personas y las empresas con las cosas para así impulsar los ingresos y la eficiencia.;- El negocio digital ayuda a eliminar las barreras que existen actualmente entre los segmentos de la industria a través de la creación de nuevas cadenas de valor y oportunidades de negocio que el segmento tradicional no puede ofrecer."
IT Trend Map,Digitalization,Industrialization 4.0,
IT Trend Map,Digitalization,Computing Everywhere,
IT Trend Map,Digitalization,3D Printing,
IT Trend Map,Digitalization,Augmented and virtual worlds,
IT Trend Map,Digitalization,E-business,
IT Trend Map,Internet of Things,text,"- Actualmente, Internet es una red de ordenadores, cada uno con una etiqueta de identificación que consta de una dirección IP única.;- La visión del Internet de las Cosas (IoT) consiste en conectar dispositivos y objetos pequeños para que sea identificable por su propia dirección IP única. Estos dispositivos pueden comunicar de manera autónoma entre sí y proporcionar información.;-  Estos objetos interconectados recogen datos con regularidad, los analizan y utilizan para iniciar acciones, proporcionando un elevado grado de inteligencia para la planificación, la gestión y la toma de decisiones."
IT Trend Map,Internet of Things,Loc-based services,
IT Trend Map,Internet of Things,Telematics,
IT Trend Map,Internet of Things,Smart Home,
IT Trend Map,Internet of Things,Smart Machines (Smart Objects),
IT Trend Map,Internet of Things,Wearable Devices,
IT Trend Map,Internet of Things,Robotics/Drones,
IT Trend Map,Crowdsourcing,text,"- Crowdsourcing se refiere al proceso de obtención de ideas, servicios o contenidos por parte de los usuarios de Internet (multitud).;- Se dan tareas que han sido resueltas internamente a varias personas interesadas externas.;- El factor de éxito del crowdsourcing es que cada colaborador añade sus propios conocimientos y, de esta manera, se puede lograr un resultado mejor."
IT Trend Map,Crowdsourcing,Citizen Development,
IT Trend Map,Crowdsourcing,User Centered Design,
IT Trend Map,Cybersecurity,text,"- Las inversiones de las empresas en seguridad siguen siendo fuertes, dado que otras tendencias como el aumento de los trabajadores a distancia / acceso remoto, la Comunicación Unificada y el consumo de TI en las empresas aumentan los riesgos de las amenazas informáticas externas.  Muchas empresas no se sienten seguras acerca de las nubes públicas y optan por ""nubes privadas"". Asimismo están avanzando con rapidez las tecnologías aplicables en la detección de fraudes, tanto por el lado de las empresas como por parte del usuario final.;- Una de las tendencias por el lado del proveedor es construir seguridad dentro de la red, una tendencia que empresas como Cisco, Juniper, Microsoft y otras están siguiendo en su enfoque de servicios gestionados."
IT Trend Map,Cybersecurity,Risk-based Security,
IT Trend Map,Web-Scale IT,text,"Las tecnologías de la información a escala web permiten niveles extremos de prestación de servicios en comparación con muchos de sus contrapartes empresariales.;- El término contiene seis elementos: centros de datos industriales, arquitecturas orientadas a la web, gestión programable, procesos ágiles, un estilo de organización colaborativa y una cultura de aprendizaje.;-  Lo más importante es que permite que los centros de datos amplíen su volumen de trabajo sin la ampliación de los servidores individuales, ya que se aprovechan los recursos informáticos en toda la infraestructura, según sea necesario, utilizando software de orquestación."
IT Trend Map,Web-Scale IT,Software-Defined Anything,
IT Trend Map,Web-Scale IT,Cloud/Client Architecture,
IT Trend Map,Web 4.0,text,"- El tema principal de Web 4.0 es la ultra inteligencia.;- Cada internauta tendrá su propio agente personal.;- El agente reconocerá al usuario específico, no importa qué dispositivo esté utilizando. Para ello se utiliza una pequeña cámara, que está integrada en las máquinas.;- El agente ayuda al usuario en todas las situaciones como: transporte, meteorología, alimentación y deporte."
IT Trend Map,Web 4.0,New Payment Models,
IT Trend Map,Web 4.0,Haptic Technologies,
IT Trend Map,Web 4.0,New Learning Styles,
IT Trend Map,Web 4.0,Automated Decision Taking,
IT Trend Map,Context-aware Computing,text,"- La informática contextual se refiere a software que analiza y reacciona al contexto cambiante del usuario individual.;- El software es consciente de la condición y del entorno del usuario e intenta personalizar este entorno."
IT Trend Map,Context-aware Computing,Autonomous Systems and Devices,
IT Trend Map,Context-aware Computing,Integrated Systems,
IT Trend Map,Context-aware Computing,Virtual Assistant Systems,
IT Trend Map,Big Data,text,"- Big Data se refiere a un volumen masivo y una gran variedad de datos recopilados durante un largo período. Los tipos de datos son una amplia gama de transacciones comerciales, correos electrónicos y fotos de los registros de actividad.;- El volumen de datos en todo el mundo se duplica cada dos años.;- Se puede mejorar el almacenamiento físico a través de más discos duros, pero el desafío es la infraestructura del software que debe ser lo suficientemente flexible como para analizar y manejar esas masas de datos."
IT Trend Map,Big Data,Mobile Health Services,
IT Trend Map,Big Data,Collaborative Consumption,
IT Trend Map,Big Data,Open Data,
IT Trend Map,Big Data,Predictive Analytics,
Business Trend Map,Capital Mgmt,Captives,
Business Trend Map,Capital Mgmt,CRT,
Business Trend Map,Capital Mgmt,IRM SALSA,
Business Trend Map,Climate change,Renewable Energies Covers,
Business Trend Map,Climate change,Parametric Trigger Products,
Business Trend Map,Globalisation,Consolidation / M&A,
Business Trend Map,Globalisation,SALSA,
Business Trend Map,Regulatory sophistication,"Solvency II: Mexico, Chile, Spain",
Business Trend Map,Regulatory sophistication,Improved standards: other countries,
Business Trend Map,Regulatory sophistication,Cooperation with Regulators,
Business Trend Map,Distribution,Gamification,
Business Trend Map,Distribution,Social Media,
Business Trend Map,Distribution,Affinity Groups,
Business Trend Map,New clients,MGAs,
Business Trend Map,New clients,Financial Groups,
Business Trend Map,New clients,Governments,
Business Trend Map,New clients,Supra National Org,
Business Trend Map,Society,Aging,
Business Trend Map,Society,Fast growing population,
Business Trend Map,Society,Insurance penetration,
Business Trend Map,Scouting & accelerating,Incubator,
Business Trend Map,Scouting & accelerating,Partnering,
Business Trend Map,Scouting & accelerating,Innovation management,
Business Trend Map,Collaboration,Design Thinking,
Business Trend Map,Collaboration,New Learning Styles,
Business Trend Map,Collaboration,Inno Labs,
Business Trend Map,Collaboration,Agile Project approach,
Business Trend Map,Collaboration,Cross-functional teams,
Business Trend Map,Collaboration,Cross-business segment collaboration,
Business Trend Map,Collaboration,Co-creating with clients,
